sequence,length,count,up_count,down_count,up_probability
"17,17,11",3,52,22,30,0.423077
"11,6,10",3,52,29,23,0.557692
"18,10,10",3,51,19,32,0.372549
"17,25,24",3,51,19,32,0.372549
"25,17,7",3,51,9,42,0.176471
"5,4,4",3,51,22,29,0.431373
"4,17,20",3,50,22,28,0.44
"11,25,12",3,50,16,34,0.32
"4,25,17",3,50,12,38,0.24
"13,24,12",3,50,28,22,0.56
"4,25,4",3,50,22,28,0.44
"5,25,17",3,50,16,34,0.32
"14,14,15",3,50,43,7,0.86
"3,5,11",3,50,29,21,0.58
"14,10,10",3,49,27,22,0.55102
"8,5,20",3,49,17,32,0.346939
"6,16,18",3,49,7,42,0.142857
"4,5,5",3,49,29,20,0.591837
"4,4,20",3,49,17,32,0.346939
"5,25,4",3,49,18,31,0.367347
"11,7,17",3,48,15,33,0.3125
"21,10,10",3,48,28,20,0.583333
"3,13,3",3,48,13,35,0.270833
"4,24,12",3,48,30,18,0.625
"25,17,25",3,48,13,35,0.270833
"24,24,14",3,48,35,13,0.729167
"5,17,17",3,47,19,28,0.404255
"24,24,8",3,47,32,15,0.680851
"3,13,13",3,47,30,17,0.638298
"6,11,11",3,47,26,21,0.553191
"4,12,24",3,47,19,28,0.404255
"12,24,6",3,47,20,27,0.425532
"10,14,25",3,47,27,20,0.574468
"24,16,15",3,47,30,17,0.638298
"3,3,2",3,47,28,19,0.595745
"7,24,24",3,46,17,29,0.369565
"10,16,16",3,45,20,25,0.444444
"3,16,3",3,45,33,12,0.733333
"11,11,6",3,45,29,16,0.644444
"15,3,10",3,45,37,8,0.822222
"4,25,5",3,45,20,25,0.444444
"5,4,23",3,45,27,18,0.6
"22,25,25",3,45,33,12,0.733333
"14,5,5",3,45,25,20,0.555556
"10,14,5",3,45,14,31,0.311111
"24,15,15",3,45,16,29,0.355556
"16,10,25",3,44,16,28,0.363636
"13,6,10",3,44,30,14,0.681818
"4,17,24",3,44,11,33,0.25
"8,8,11",3,44,25,19,0.568182
"17,17,12",3,44,14,30,0.318182
"15,15,15",3,44,35,9,0.795455
"5,17,24",3,43,15,28,0.348837
"13,13,10",3,43,14,29,0.325581
"2,25,10",3,43,27,16,0.627907
"24,1,24",3,43,11,32,0.255814
"10,1,24",3,43,16,27,0.372093
"10,14,14",3,43,16,27,0.372093
"20,24,24",3,43,1,42,0.023256
"14,15,25",3,43,32,11,0.744186
"3,16,18",3,42,24,18,0.571429
"3,10,6",3,42,29,13,0.690476
"25,12,12",3,42,27,15,0.642857
"21,25,25",3,42,13,29,0.309524
"15,15,5",3,42,11,31,0.261905
"24,24,13",3,42,18,24,0.428571
"6,6,15",3,42,5,37,0.119048
"3,24,16",3,42,36,6,0.857143
"2,15,5",3,42,30,12,0.714286
"23,7,11",3,41,7,34,0.170732
"8,24,8",3,41,12,29,0.292683
"15,16,15",3,41,26,15,0.634146
"5,11,13",3,41,24,17,0.585366
"2,2,11",3,41,15,26,0.365854
"4,5,24",3,41,9,32,0.219512
"17,24,7",3,41,15,26,0.365854
"7,17,24",3,41,15,26,0.365854
"3,14,25",3,41,27,14,0.658537
"11,2,25",3,41,13,28,0.317073
"3,13,6",3,41,18,23,0.439024
"2,5,5",3,41,23,18,0.560976
"11,13,5",3,40,25,15,0.625
"7,24,11",3,40,6,34,0.15
"11,12,17",3,40,17,23,0.425
"3,6,16",3,40,25,15,0.625
"10,14,6",3,40,27,13,0.675
"24,6,16",3,40,15,25,0.375
"25,6,21",3,40,23,17,0.575
"12,4,25",3,40,16,24,0.4
"17,12,17",3,39,9,30,0.230769
"12,17,12",3,39,13,26,0.333333
"6,13,6",3,39,27,12,0.692308
"10,3,1",3,38,12,26,0.315789
"6,22,25",3,38,27,11,0.710526
"2,2,10",3,38,24,14,0.631579
"16,15,5",3,37,14,23,0.378378
"10,18,10",3,37,9,28,0.243243
"16,18,10",3,37,33,4,0.891892
"10,24,15",3,37,23,14,0.621622
"4,4,12",3,37,23,14,0.621622
"25,21,25",3,37,15,22,0.405405
"13,12,24",3,37,14,23,0.378378
"4,24,17",3,37,13,24,0.351351
"10,2,5",3,37,11,26,0.297297
"6,6,14",3,37,24,13,0.648649
"3,11,11",3,37,30,7,0.810811
"3,13,10",3,37,14,23,0.378378
"3,10,11",3,37,21,16,0.567568
"1,10,10",3,36,12,24,0.333333
"3,3,18",3,36,24,12,0.666667
"12,17,24",3,36,13,23,0.361111
"6,6,1",3,36,21,15,0.583333
"24,4,12",3,36,25,11,0.694444
"2,15,25",3,36,26,10,0.722222
"16,3,10",3,36,21,15,0.583333
"16,16,15",3,35,13,22,0.371429
"16,14,14",3,35,22,13,0.628571
