sequence,length,count,up_count,down_count,up_probability
"2,25,6",3,229,132,97,0.576419
"6,11,11",3,229,103,126,0.449782
"10,21,25",3,229,140,89,0.611354
"16,25,15",3,229,158,71,0.689956
"25,24,15",3,228,139,89,0.609649
"11,25,20",3,227,100,123,0.440529
"4,4,12",3,227,101,126,0.444934
"7,24,24",3,226,95,129,0.420354
"15,15,10",3,225,149,75,0.662222
"16,16,18",3,221,151,70,0.683258
"2,25,24",3,221,99,122,0.447964
"8,24,5",3,220,91,129,0.413636
"24,25,16",3,220,152,68,0.690909
"5,25,17",3,220,93,125,0.422727
"15,10,6",3,219,133,86,0.607306
"25,25,16",3,219,139,80,0.634703
"3,16,16",3,219,130,89,0.593607
"16,16,25",3,218,148,69,0.678899
"11,4,17",3,218,90,128,0.412844
"15,24,25",3,215,120,95,0.55814
"11,4,20",3,213,133,80,0.624413
"24,6,16",3,212,70,139,0.330189
"24,15,15",3,212,139,73,0.65566
"6,22,25",3,212,121,91,0.570755
"4,23,24",3,211,77,133,0.364929
"25,12,17",3,209,84,125,0.401914
"4,11,12",3,209,84,125,0.401914
"16,16,15",3,208,126,82,0.605769
"17,12,17",3,208,87,119,0.418269
"11,2,5",3,207,83,124,0.400966
"12,11,25",3,205,71,133,0.346341
"13,10,10",3,205,117,88,0.570732
"6,16,16",3,203,125,78,0.615764
"3,24,16",3,203,119,83,0.586207
"17,12,25",3,202,85,116,0.420792
"3,16,3",3,202,119,69,0.589109
"20,24,24",3,202,37,165,0.183168
"8,4,5",3,201,76,125,0.378109
"16,18,10",3,201,119,82,0.59204
"3,2,25",3,201,129,72,0.641791
"4,17,17",3,201,90,108,0.447761
"5,20,12",3,201,86,115,0.427861
"2,15,25",3,200,127,73,0.635
"10,3,13",3,200,121,79,0.605
"24,12,5",3,200,77,123,0.385
"4,4,20",3,199,88,111,0.442211
"25,12,6",3,198,77,120,0.388889
"17,7,7",3,195,62,130,0.317949
"6,15,10",3,195,21,174,0.107692
"25,4,12",3,194,85,109,0.438144
"13,13,6",3,193,126,66,0.65285
"17,24,4",3,193,75,115,0.388601
"4,12,12",3,192,69,123,0.359375
"3,3,2",3,191,120,71,0.628272
"15,10,3",3,190,115,75,0.605263
"11,13,5",3,189,105,84,0.555556
"14,5,11",3,189,108,81,0.571429
"24,10,16",3,188,113,74,0.601064
"5,20,4",3,187,47,140,0.251337
"7,17,7",3,187,64,118,0.342246
"10,11,24",3,185,76,109,0.410811
"15,6,6",3,184,110,74,0.597826
"25,4,20",3,184,115,69,0.625
"3,16,10",3,183,119,64,0.650273
"5,17,20",3,182,61,121,0.335165
"3,16,18",3,182,117,62,0.642857
"11,7,5",3,182,106,76,0.582418
"2,2,2",3,182,75,107,0.412088
"11,12,17",3,181,63,118,0.348066
"17,7,12",3,180,63,116,0.35
"3,24,14",3,178,106,72,0.595506
"24,16,16",3,177,123,53,0.694915
