sequence,length,count,up_count,down_count,up_probability
"21,25,6",3,243,94,149,0.386831
"2,17,17",3,242,107,133,0.442149
"18,6,10",3,241,147,94,0.609959
"5,4,4",3,241,100,141,0.414938
"17,17,13",3,240,92,146,0.383333
"25,2,2",3,240,101,139,0.420833
"7,10,10",3,240,88,152,0.366667
"11,17,23",3,239,97,142,0.405858
"17,25,12",3,239,84,155,0.351464
"15,24,25",3,237,106,131,0.447257
"11,23,17",3,237,94,143,0.396624
"18,25,10",3,237,158,79,0.666667
"14,14,25",3,237,94,135,0.396624
"6,13,24",3,235,143,92,0.608511
"16,10,5",3,233,102,131,0.437768
"24,12,5",3,233,96,137,0.412017
"15,2,25",3,233,150,83,0.643777
"13,1,1",3,231,133,98,0.575758
"6,13,13",3,231,139,92,0.601732
"12,5,5",3,231,78,153,0.337662
"25,25,2",3,231,136,95,0.588745
"7,12,11",3,230,77,153,0.334783
"10,18,11",3,229,101,128,0.441048
"16,3,15",3,229,133,96,0.580786
"23,23,5",3,229,99,130,0.432314
"10,14,25",3,229,85,144,0.371179
"11,2,17",3,226,87,134,0.384956
"24,10,1",3,226,91,135,0.402655
"10,18,5",3,225,89,136,0.395556
"25,16,18",3,225,148,77,0.657778
"18,5,11",3,223,130,93,0.58296
"24,16,3",3,223,140,83,0.627803
"4,11,20",3,223,94,123,0.421525
"25,16,24",3,221,122,99,0.552036
"2,5,25",3,221,88,133,0.39819
"16,2,15",3,221,143,78,0.647059
"15,11,5",3,220,90,130,0.409091
"5,4,5",3,220,93,127,0.422727
"8,24,8",3,219,83,136,0.378995
"10,3,18",3,219,91,128,0.415525
"25,4,11",3,219,71,148,0.324201
"15,16,16",3,218,133,85,0.610092
"11,13,1",3,218,141,77,0.646789
"10,14,10",3,218,94,124,0.431193
"16,18,3",3,217,137,80,0.631336
"7,12,17",3,216,57,159,0.263889
"11,10,6",3,214,88,126,0.411215
"8,11,4",3,213,83,130,0.389671
"12,24,12",3,213,84,129,0.394366
"15,3,6",3,213,121,92,0.568075
"2,15,3",3,213,95,118,0.446009
"5,7,17",3,212,53,159,0.25
"11,17,20",3,212,66,146,0.311321
"16,3,3",3,212,126,86,0.59434
"13,6,24",3,212,124,88,0.584906
"16,25,18",3,211,127,84,0.601896
"4,11,25",3,211,89,122,0.421801
"9,25,6",3,210,86,123,0.409524
"24,11,8",3,210,81,129,0.385714
"24,10,13",3,209,90,119,0.430622
"10,9,25",3,209,80,129,0.382775
"16,24,16",3,209,153,54,0.732057
"4,4,12",3,209,85,124,0.406699
"21,10,10",3,209,93,116,0.444976
"16,25,2",3,209,90,119,0.430622
"11,7,10",3,208,83,125,0.399038
"17,13,24",3,208,85,123,0.408654
"25,7,25",3,207,69,137,0.333333
"24,13,13",3,207,129,78,0.623188
"6,24,19",3,206,50,156,0.242718
"24,24,14",3,205,123,80,0.6
"16,15,2",3,205,119,86,0.580488
"10,15,11",3,204,87,117,0.426471
"6,6,9",3,204,79,124,0.387255
"6,6,18",3,204,118,86,0.578431
"21,25,25",3,204,88,116,0.431373
"8,5,17",3,203,68,135,0.334975
"13,13,10",3,203,125,78,0.615764
"17,12,12",3,203,78,125,0.384236
"24,12,12",3,201,81,120,0.402985
"12,11,4",3,200,67,133,0.335
"14,14,2",3,200,76,113,0.38
"11,4,12",3,199,65,134,0.326633
"25,12,5",3,198,67,131,0.338384
"16,15,5",3,198,116,82,0.585859
"25,15,16",3,197,128,69,0.649746
"5,8,2",3,195,82,113,0.420513
"10,10,17",3,195,82,113,0.420513
"25,7,12",3,195,78,117,0.4
"17,23,7",3,194,66,128,0.340206
"6,21,25",3,194,76,118,0.391753
"5,25,5",3,194,87,107,0.448454
"23,24,17",3,194,63,131,0.324742
"4,24,5",3,194,87,107,0.448454
"4,4,25",3,194,60,134,0.309278
"2,25,3",3,194,61,133,0.314433
"13,13,1",3,193,107,86,0.554404
"25,5,17",3,192,64,128,0.333333
"17,17,25",3,191,84,106,0.439791
"15,15,5",3,190,112,78,0.589474
"18,18,16",3,190,148,37,0.778947
"1,11,5",3,190,80,110,0.421053
"24,17,13",3,189,109,80,0.57672
"16,10,3",3,188,116,72,0.617021
"1,24,25",3,188,74,114,0.393617
"2,11,12",3,188,78,110,0.414894
"18,10,2",3,187,121,66,0.647059
"11,8,25",3,187,76,111,0.406417
"4,12,17",3,187,64,123,0.342246
"5,5,7",3,187,74,113,0.395722
"11,4,2",3,187,59,128,0.315508
"18,5,5",3,186,79,107,0.424731
"6,22,10",3,186,78,108,0.419355
"10,24,1",3,186,105,81,0.564516
"7,24,12",3,186,70,116,0.376344
"12,10,10",3,185,67,118,0.362162
