sequence,length,count,up_count,down_count,up_probability
"24,8,8",3,129,47,82,0.364341
"23,7,17",3,129,46,83,0.356589
"5,17,23",3,129,57,71,0.44186
"18,15,3",3,129,74,55,0.573643
"1,1,6",3,129,76,53,0.589147
"1,10,15",3,129,71,58,0.550388
"12,12,11",3,129,47,82,0.364341
"24,10,21",3,129,54,75,0.418605
"18,15,15",3,129,77,52,0.596899
"4,2,25",3,128,42,86,0.328125
"9,22,3",3,128,21,107,0.164062
"2,11,17",3,128,40,88,0.3125
"24,8,24",3,127,71,56,0.559055
"4,20,12",3,127,51,76,0.401575
"24,15,16",3,127,73,54,0.574803
"5,20,17",3,126,34,92,0.269841
"7,17,25",3,126,41,85,0.325397
"18,15,16",3,126,79,47,0.626984
"14,25,10",3,126,48,78,0.380952
"24,23,7",3,126,44,82,0.349206
"11,23,8",3,126,41,85,0.325397
"9,6,25",3,126,42,84,0.333333
"11,1,25",3,126,52,74,0.412698
"25,4,4",3,126,44,82,0.349206
"11,17,10",3,126,54,69,0.428571
"16,16,24",3,125,87,37,0.696
"3,3,5",3,125,82,43,0.656
"23,7,23",3,125,40,85,0.32
"4,4,11",3,125,51,74,0.408
"15,3,2",3,125,45,80,0.36
"2,10,16",3,124,69,55,0.556452
"7,23,23",3,124,51,73,0.41129
"25,20,4",3,124,44,80,0.354839
"10,5,23",3,124,53,71,0.427419
"3,2,6",3,124,73,51,0.58871
"5,13,13",3,123,70,53,0.569106
"24,7,7",3,123,47,75,0.382114
"2,11,23",3,123,48,75,0.390244
"19,21,18",3,123,0,123,0.0
"6,15,18",3,123,48,75,0.390244
"16,18,6",3,122,54,68,0.442623
"7,6,10",3,122,45,77,0.368852
"17,11,25",3,122,45,77,0.368852
"7,25,11",3,122,54,67,0.442623
"10,24,13",3,122,52,70,0.42623
"25,20,25",3,122,44,78,0.360656
"11,5,13",3,122,33,89,0.270492
"15,15,2",3,122,79,43,0.647541
"5,2,17",3,122,36,86,0.295082
"18,9,24",3,122,20,102,0.163934
"10,16,14",3,121,67,54,0.553719
"17,1,11",3,121,44,77,0.363636
"3,13,24",3,121,76,45,0.628099
"11,8,24",3,120,45,75,0.375
"12,7,17",3,120,52,68,0.433333
"12,4,11",3,120,42,78,0.35
"6,10,9",3,120,49,71,0.408333
"20,24,24",3,120,42,78,0.35
"2,2,17",3,120,47,73,0.391667
"3,25,11",3,119,45,74,0.378151
"3,6,11",3,119,91,28,0.764706
